date,gain,qu,qx,qd
1982-01-01,1010.00,1698.48,,3410.00
1982-01-02,1060.00,1465.52,,3460.00
1982-01-03,1100.00,1605.47,,3500.00
1982-01-04,1020.00,1522.95,,3420.00
1982-01-05,910.00,1415.34,,3310.00
1982-01-06,390.00,917.42,,7400.00
1982-01-07,820.00,1650.31,,10400.00
1982-01-08,1000.00,1513.78,,10600.00
1982-01-09,1060.00,1529.33,,10700.00
1982-01-10,1860.00,2655.95,,4810.00
1982-01-11,430.00,1187.34,,7740.00
1982-01-12,1190.00,1775.60,,8720.00
1982-01-13,1350.00,2645.00,,8770.00
1982-01-14,1200.00,1332.99,,6370.00
1982-01-15,1150.00,1114.30,,8670.00
1982-01-16,1620.00,3641.39,,4320.00
1982-01-17,890.00,1326.19,,3360.00
1982-01-18,1030.00,1376.66,,3490.00
1982-01-19,1040.00,1716.18,,3540.00
1982-01-20,1040.00,1336.98,,4500.00
1982-01-21,900.00,1330.57,,3440.00
1982-01-22,380.00,1043.16,,6030.00
1982-01-23,1460.00,2520.10,,3960.00
1982-01-24,1010.00,2264.46,,3510.00
1982-01-25,1060.00,1670.44,,3780.00
1982-01-26,1150.00,1441.95,,4200.00
1982-01-27,1220.00,1867.77,,4240.00
1982-01-28,1220.00,1952.80,,4230.00
1982-01-29,1290.00,2147.78,,4140.00
1982-01-30,1240.00,2040.37,,3750.00
1982-01-31,1250.00,1957.73,,3760.00
1982-02-01,1200.00,1812.69,,3710.00
1982-02-02,1180.00,1887.73,,3690.00
1982-02-03,1000.00,1422.75,,3510.00
1982-02-04,220.00,529.92,,4200.00
1982-02-05,750.00,935.75,,10600.00
1982-02-06,1540.00,1717.57,,8560.00
1982-02-07,1000.00,1666.05,,3520.00
1982-02-08,1000.00,1480.39,,3520.00
1982-02-09,910.00,1204.73,,3430.00
1982-02-10,940.00,1596.05,,3450.00
1982-02-11,970.00,1450.39,,3490.00
1982-02-12,1010.00,1570.89,,3520.00
1982-02-13,1080.00,3128.31,,3590.00
1982-02-14,1230.00,3007.49,,3750.00
1982-02-15,1600.00,3181.83,,4110.00
1982-02-16,2190.00,4244.34,,4430.00
1982-02-17,2296.00,4136.60,,2930.00
1982-02-18,2430.00,4362.75,,2880.00
1982-02-19,1910.00,4715.28,,3880.00
1982-02-20,3480.00,7369.75,,6720.00
1982-02-21,4599.00,9748.83,,5020.00
1982-02-22,5080.00,9523.01,,8690.00
1982-02-23,4960.00,8135.66,,7950.00
1982-02-24,3960.00,6738.68,,7110.00
1982-02-25,3460.00,5645.66,,5460.00
1982-02-26,3140.00,5206.85,,4650.00
1982-02-27,3025.00,4902.75,,3420.00
1982-02-28,2824.00,4519.36,,3220.00
1982-03-01,2706.00,4851.18,,3090.00
1982-03-02,2664.00,4634.30,,3040.00
1982-03-03,2555.00,4368.77,,2960.00
1982-03-04,2461.00,3910.77,,2880.00
1982-03-05,2281.00,3920.97,,2700.00
1982-03-06,2200.00,3512.97,,2670.00
1982-03-07,2167.00,3485.24,,2640.00
1982-03-08,1690.00,2816.84,,3850.00
1982-03-09,2140.00,4367.90,,6150.00
1982-03-10,2450.00,4410.46,,6850.00
1982-03-11,2560.00,5031.80,,6720.00
1982-03-12,2620.00,4750.39,,6790.00
1982-03-13,2540.00,4344.73,,6570.00
1982-03-14,2460.00,3800.77,,6490.00
1982-03-15,2420.00,4126.69,,7280.00
1982-03-16,2300.00,3620.40,,7050.00
1982-03-17,2100.00,3458.01,,6240.00
1982-03-18,2090.00,3281.89,,6880.00
1982-03-19,2080.00,3673.84,,5780.00
1982-03-20,2050.00,3261.95,,7110.00
1982-03-21,2000.00,3122.71,,7060.00
1982-03-22,1710.00,2830.86,,7960.00
1982-03-23,1890.00,2739.49,,8730.00
1982-03-24,1660.00,3064.41,,8580.00
1982-03-25,1910.00,2885.31,,8670.00
1982-03-26,1620.00,2539.71,,8640.00
1982-03-27,2120.00,3323.48,,9300.00
1982-03-28,1910.00,3134.22,,8930.00
1982-03-29,2000.00,3657.21,,8970.00
1982-03-30,1940.00,3522.48,,8970.00
1982-03-31,2170.00,3502.60,,9480.00
1982-04-01,1740.00,3067.62,,8830.00
1982-04-02,2120.00,3325.91,,9810.00
1982-04-03,1960.00,3394.85,,9100.00
1982-04-04,1480.00,2866.75,,8780.00
1982-04-05,1940.00,3373.13,,9150.00
1982-04-06,1680.00,2572.57,,9370.00
1982-04-07,2070.00,3456.20,,8740.00
1982-04-08,1570.00,2771.59,,9370.00
1982-04-09,2700.00,4055.96,,6980.00
1982-04-10,1757.00,2673.57,,2590.00
1982-04-11,2045.00,4452.07,,2780.00
1982-04-12,1540.00,4886.36,,8730.00
1982-04-13,3380.00,6864.59,,13100.00
1982-04-14,4040.00,7844.27,,13400.00
1982-04-15,3690.00,7108.12,,13400.00
1982-04-16,3570.00,6355.86,,13300.00
1982-04-17,3420.00,5908.44,,13100.00
1982-04-18,4575.00,7169.16,,5290.00
1982-04-19,1820.00,3884.94,,11000.00
1982-04-20,2900.00,4793.09,,13600.00
1982-04-21,2900.00,4974.62,,12900.00
1982-04-22,3000.00,5314.98,,13000.00
1982-04-23,3600.00,6727.69,,13700.00
1982-04-24,6260.00,11311.07,,11000.00
1982-04-25,7140.00,12543.21,,10900.00
1982-04-26,6250.00,11976.28,,14400.00
1982-04-27,7400.00,13022.00,,17400.00
1982-04-28,8420.00,15117.50,,18400.00
1982-04-29,9140.00,15169.72,,19000.00
1982-04-30,8600.00,14769.78,,18600.00
1982-05-01,8900.00,15206.78,,18100.00
1982-05-02,10270.00,18463.01,,19400.00
1982-05-03,13740.00,24908.80,,22800.00
