date,fb,af,mm,mx,mn,qu
1982-06-24,4241.10,,,,,
1982-06-25,4241.30,,,,,
1982-06-26,4241.60,,,,,
1982-06-27,4241.80,,,,,
1982-06-28,4241.90,,,,,
1982-06-29,4241.90,,,,,
1982-06-30,4242.20,,,,,
1982-07-01,4242.10,,,,,
1982-07-02,4242.10,,,,,
1982-07-03,4241.80,,,,,
1982-07-04,4241.50,,,,,
1982-07-05,4241.10,,,,,
1982-07-06,4241.10,,,,,
1982-07-07,4241.10,,,,,
1982-07-08,4241.10,,,,,
1982-07-09,4241.30,,,,,
1982-07-10,4241.50,,,,,
1982-07-11,4241.60,,,,,
1982-07-12,4241.80,,,,,
1982-07-13,4242.10,,,,,
1982-07-14,4242.50,,,,,
1982-07-15,4242.80,,,,,
1982-07-16,4242.60,,,,,
1982-07-17,4242.50,,,,,
1982-07-18,4242.20,,,,,
1982-07-19,4242.00,,,,,
1982-07-20,4242.00,,,,,
1982-07-21,4242.10,,,,,
1982-07-22,4242.20,,,,,
1982-07-23,4242.20,,,,,
1982-07-24,4242.20,,,,,
1982-07-25,4242.00,,,,,
1982-07-26,4241.90,,,,,
1982-07-27,4241.70,,,,,
1982-07-28,4241.50,,,,,
1982-07-29,4241.30,,,,,
1982-07-30,4241.00,,,,,
1982-07-31,4240.60,,,,,
1982-08-01,4240.40,,,,,
1982-08-02,4240.00,,,,,
1982-08-03,4239.60,,,,,
1982-08-04,4239.10,,,,,
1982-08-05,4238.60,,,,,
1982-08-06,4238.10,,,,,
1982-08-07,4237.50,,,,,
1982-08-08,4237.00,,,,,
1982-08-09,4236.40,,,,,
1982-08-10,4235.90,,,,,
1982-08-11,4235.30,,,,,
1982-08-12,4234.70,,,,,
1982-08-13,4234.10,,,,,
1982-08-14,4233.50,,,,,
1982-08-15,4232.80,,,,,
1982-08-16,4232.20,,,,,
1982-08-17,4231.60,,,,,
1982-08-18,4230.90,,,,,
1982-08-19,4230.20,,,,,
1982-08-20,4229.50,,,,,
1982-08-21,4228.80,,,,,
1982-08-22,4228.10,,,,,
1982-08-23,4227.50,,,,,
1982-08-24,4226.70,,,,,
1982-08-25,4226.00,,,,,
1982-08-26,4225.30,,,,,
1982-08-27,4224.60,,,,,
1982-08-28,4223.80,,,,,
1982-08-29,4223.10,,,,,
1982-08-30,4222.40,,,,,
1982-08-31,4222.00,,,,,
1982-09-01,4221.80,,,,,
1982-09-02,4221.50,,,,,
1982-09-03,4220.90,,,,,
1982-09-04,4220.20,,,,,
1982-09-05,4219.50,,,,,
1982-09-06,4218.80,,,,,
1982-09-07,4218.20,,,,,
1982-09-08,4217.50,,,,,
1982-09-09,4216.70,,,,,
1982-09-10,4215.80,,,,,
1982-09-11,4215.20,,,,,
1982-09-12,4214.40,,,,,
1982-09-13,4213.80,,,,,
1982-09-14,4213.00,,,,,
1982-09-15,4212.40,,,,,
1982-09-16,4211.60,,,,,
1982-09-17,4210.80,,,,,
1982-09-18,4210.10,,,,,
1982-09-19,4209.40,,,,,
1982-09-20,4208.70,,,,,
1982-09-21,4208.00,,,,,
1982-09-22,4207.20,,,,,
1982-09-23,4206.50,,,,,
1982-09-24,4205.80,,,,,
1982-09-25,4205.00,,,,,
1982-09-26,4204.20,,,,,
1982-09-27,4203.60,,,,,
1982-09-28,,,,,,
1982-09-29,,,,,,
1982-09-30,,,,,,
1982-10-01,,,,,,
1982-10-02,,,,,,
1982-10-03,,,,,,
1982-10-04,,,,,,
1982-10-05,,,,,,
1982-10-06,,,,,,
1982-10-07,,,,,,
1982-10-08,,,,,,
1982-10-09,,,,,,
1982-10-10,,,,,,
1982-10-11,,,,,,
1982-10-12,,,,,,
1982-10-13,,,,,,
1982-10-14,,,,,,
1982-10-15,,,,,,
1982-10-16,,,,,,
1982-10-17,,,,,,
1982-10-18,,,,,,
1982-10-19,,,,,,
1982-10-20,,,,,,
1982-10-21,,,,,,
1982-10-22,,,,,,
1982-10-23,,,,,,
1982-10-24,,,,,,
1982-10-25,,,,,,
1982-10-26,,,,,,
1982-10-27,,,,,,
1982-10-28,,,,,,
1982-10-29,,,,,,
1982-10-30,,,,,,
1982-10-31,,,,,,
1982-11-01,,,,,,
1982-11-02,,,,,,
1982-11-03,,,,,,
1982-11-04,,,,,,
1982-11-05,,,,,,
1982-11-06,,,,,,
1982-11-07,,,,,,
1982-11-08,,,,,,
1982-11-09,,,,,,
1982-11-10,,,,,,
1982-11-11,,,,,,
1982-11-12,,,,,,
1982-11-13,,,,,,
1982-11-14,,,,,,
1982-11-15,,,,,,
1982-11-16,,,,,,
1982-11-17,,,,,,
1982-11-18,,,,,,
1982-11-19,,,,,,
1982-11-20,,,,,,
1982-11-21,,,,,,
1982-11-22,,,,,,
1982-11-23,,,,,,
1982-11-24,,,,,,
1982-11-25,,,,,,
1982-11-26,,,,,,
1982-11-27,,,,,,
1982-11-28,,,,,,
1982-11-29,,,,,,
1982-11-30,,,,,,
1982-12-01,,,,,,
1982-12-02,,,,,,
1982-12-03,,,,,,
1982-12-04,,,,,,
1982-12-05,,,,,,
1982-12-06,,,,,,
1982-12-07,,,,,,
1982-12-08,,,,,,
1982-12-09,,,,,,
1982-12-10,,,,,,
1982-12-11,,,,,,
1982-12-12,,,,,,
1982-12-13,,,,,,
1982-12-14,,,,,,
1982-12-15,,,,,,
1982-12-16,,,,,,
1982-12-17,,,,,,
1982-12-18,,,,,,
1982-12-19,,,,,,
1982-12-20,,,,,,
1982-12-21,,,,,,
1982-12-22,,,,,,
1982-12-23,,,,,,
1982-12-24,,,,,,
1982-12-25,,,,,,
1982-12-26,,,,,,
1982-12-27,,,,,,
1982-12-28,,,,,,
1982-12-29,,,,,,
1982-12-30,,,,,,
1982-12-31,,,,,,
1983-01-01,,,,,,
1983-01-02,,,,,,
1983-01-03,,,,,,
1983-01-04,,,,,,
1983-01-05,,,,,,
1983-01-06,,,,,,
1983-01-07,,,,,,
1983-01-08,,,,,,
1983-01-09,,,,,,
1983-01-10,,,,,,
1983-01-11,,,,,,
1983-01-12,,,,,,
1983-01-13,,,,,,
1983-01-14,,,,,,
1983-01-15,,,,,,
1983-01-16,,,,,,
1983-01-17,,,,,,
1983-01-18,,,,,,
1983-01-19,,,,,,
1983-01-20,,,,,,
1983-01-21,,,,,,
1983-01-22,,,,,,
1983-01-23,,,,,,
1983-01-24,,,,,,
1983-01-25,,,,,,
1983-01-26,,,,,,
1983-01-27,,,,,,
1983-01-28,,,,,,
1983-01-29,,,,,,
1983-01-30,,,,,,
1983-01-31,,,,,,
1983-02-01,,,,,,
1983-02-02,,,,,,
1983-02-03,,,,,,
1983-02-04,,,,,,
1983-02-05,,,,,,
1983-02-06,,,,,,
1983-02-07,,,,,,
1983-02-08,,,,,,
1983-02-09,,,,,,
1983-02-10,,,,,,
1983-02-11,,,,,,
1983-02-12,,,,,,
1983-02-13,,,,,,
1983-02-14,,,,,,
1983-02-15,,,,,,
1983-02-16,,,,,,
1983-02-17,,,,,,
1983-02-18,,,,,,
1983-02-19,,,,,,
1983-02-20,,,,,,
1983-02-21,,,,,,
1983-02-22,,,,,,
1983-02-23,,,,,,
1983-02-24,,,,,,
1983-02-25,,,,,,
1983-02-26,,,,,,
1983-02-27,,,,,,
1983-02-28,,,,,,
1983-03-01,,,,,,
1983-03-02,,,,,,
1983-03-03,,,,,,
1983-03-04,,,,,,
1983-03-05,,,,,,
1983-03-06,,,,,,
1983-03-07,,,,,,
1983-03-08,,,,,,
1983-03-09,,,,,,
1983-03-10,,,,,,
1983-03-11,,,,,,
1983-03-12,,,,,,
1983-03-13,,,,,,
1983-03-14,,,,,,
1983-03-15,,,,,,
1983-03-16,,,,,,
1983-03-17,,,,,,
1983-03-18,,,,,,
1983-03-19,,,,,,
1983-03-20,,,,,,
1983-03-21,,,,,,
1983-03-22,,,,,,
1983-03-23,,,,,,
1983-03-24,,,,,,
1983-03-25,,,,,,
1983-03-26,,,,,,
1983-03-27,,,,,,
1983-03-28,,,,,,
1983-03-29,,,,,,
1983-03-30,,,,,,
1983-03-31,,,,,,
1983-04-01,,,,,,
1983-04-02,,,,,,
1983-04-03,,,,,,
1983-04-04,,,,,,
1983-04-05,,,,,,
1983-04-06,,,,,,
1983-04-07,,,,,,
1983-04-08,,,,,,
1983-04-09,,,,,,
1983-04-10,,,,,,
1983-04-11,,,,,,
1983-04-12,,,,,,
1983-04-13,,,,,,
1983-04-14,,,,,,
1983-04-15,,,,,,
1983-04-16,,,,,,
1983-04-17,,,,,,
1983-04-18,,,,,,
1983-04-19,,,,,,
1983-04-20,,,,,,
1983-04-21,,,,,,
1983-04-22,,,,,,
1983-04-23,4225.00,,,,,
1983-04-24,4225.80,,,,,
1983-04-25,4226.50,,,,,
1983-04-26,4227.00,,,,,
1983-04-27,4227.30,,,,,
1983-04-28,4227.80,,,,,
1983-04-29,4228.10,,,,,
1983-04-30,4228.30,,,,,
1983-05-01,4227.50,,,,,
1983-05-02,4227.80,,,,,
1983-05-03,4228.20,,,,,
1983-05-04,4228.40,,,,,
1983-05-05,4228.60,,,,,
1983-05-06,4228.80,,,,,
1983-05-07,4228.90,,,,,
1983-05-08,4229.10,,,,,
1983-05-09,4229.20,,,,,
1983-05-10,4228.90,,,,,
1983-05-11,4228.70,,,,,
1983-05-12,4228.80,,,,,
1983-05-13,4228.70,,,,,
1983-05-14,4228.60,,,,,
1983-05-15,4228.20,,,,,
1983-05-16,4227.80,,,,,
1983-05-17,4227.60,,,,,
1983-05-18,4227.40,,,,,
1983-05-19,4227.20,,,,,
1983-05-20,4227.00,,,,,
1983-05-21,4226.90,,,,,
1983-05-22,4227.00,,,,,
1983-05-23,4227.30,,,,,
1983-05-24,4227.80,,,,,
1983-05-25,4228.80,,,,,
1983-05-26,4230.20,,,,,
1983-05-27,4232.10,,,,,
1983-05-28,4234.20,,,,,
1983-05-29,4236.30,,,,,
1983-05-30,4238.20,,,,,
1983-05-31,4239.80,,,,,
1983-06-01,4240.30,,,,,
1983-06-02,4240.30,,,,,
1983-06-03,4240.20,,,,,
1983-06-04,4240.40,,,,,
1983-06-05,4240.40,,,,,
1983-06-06,4240.40,,,,,
1983-06-07,4240.80,,,,,
1983-06-08,4241.40,,,,,
1983-06-09,4241.80,,,,,
1983-06-10,4242.10,,,,,
1983-06-11,4242.20,,,,,
1983-06-12,4242.10,,,,,
1983-06-13,4241.80,,,,,
1983-06-14,4241.70,,,,,
1983-06-15,4241.70,,,,,
1983-06-16,4241.80,,,,,
1983-06-17,4242.00,,,,,
1983-06-18,4242.20,,,,,
1983-06-19,4242.70,,,,,
1983-06-20,4242.70,,,,,
1983-06-21,4242.70,,,,,
1983-06-22,4242.60,,,,,
1983-06-23,4242.50,,,,,
1983-06-24,4242.60,,,,,
1983-06-25,4242.90,,,,,
1983-06-26,4243.10,,,,,
1983-06-27,4243.10,,,,,
1983-06-28,4243.10,,,,,
1983-06-29,4242.50,,,,,
1983-06-30,4242.70,,,,,
1983-07-01,4242.70,,,,,
1983-07-02,4243.00,,,,,
1983-07-03,4243.10,,,,,
1983-07-04,4243.10,,,,,
1983-07-05,4243.00,,,,,
1983-07-06,4242.90,,,,,
1983-07-07,4243.00,,,,,
1983-07-08,4243.00,,,,,
1983-07-09,4243.00,,,,,
1983-07-10,4243.10,,,,,
1983-07-11,4243.00,,,,,
1983-07-12,4242.70,,,,,
1983-07-13,4242.50,,,,,
1983-07-14,4242.30,,,,,
1983-07-15,4242.30,,,,,
1983-07-16,4242.20,,,,,
1983-07-17,4242.00,,,,,
1983-07-18,4241.80,,,,,
1983-07-19,4241.70,,,,,
1983-07-20,4241.40,,,,,
1983-07-21,4241.20,,,,,
1983-07-22,4241.10,,,,,
1983-07-23,4240.90,,,,,
1983-07-24,4240.60,,,,,
1983-07-25,4240.40,,,,,
1983-07-26,4240.20,,,,,
1983-07-27,4239.90,,,,,
1983-07-28,4239.60,,,,,
1983-07-29,4239.20,,,,,
1983-07-30,4238.80,,,,,
1983-07-31,4238.30,,,,,
1983-08-01,4237.90,,,,,
1983-08-02,4237.40,,,,,
1983-08-03,4237.00,,,,,
1983-08-04,4236.50,,,,,
1983-08-05,4236.00,,,,,
1983-08-06,4235.40,,,,,
1983-08-07,4234.80,,,,,
1983-08-08,4234.20,,,,,
1983-08-09,4233.60,,,,,
1983-08-10,4232.00,,,,,
1983-08-11,4232.40,,,,,
1983-08-12,4231.90,,,,,
1983-08-13,4231.30,,,,,
1983-08-14,4230.70,,,,,
1983-08-15,4230.10,,,,,
1983-08-16,4229.40,,,,,
1983-08-17,4228.70,,,,,
1983-08-18,4228.00,,,,,
1983-08-19,4227.60,,,,,
1983-08-20,4226.80,,,,,
1983-08-21,4226.20,,,,,
1983-08-22,4225.50,,,,,
1983-08-23,4224.90,,,,,
1983-08-24,4224.30,,,,,
1983-08-25,4223.60,,,,,
1983-08-26,4223.00,,,,,
1983-08-27,4222.30,,,,,
1983-08-28,4221.60,,,,,
1983-08-29,4221.00,,,,,
1983-08-30,4220.20,,,,,
1983-08-31,4219.60,,,,,
1983-09-01,4218.30,,,,,
1983-09-02,4217.60,,,,,
1983-09-03,4217.00,,,,,
1983-09-04,4216.40,,,,,
1983-09-05,4215.60,,,,,
1983-09-06,4215.00,,,,,
1983-09-07,4214.20,,,,,
1983-09-08,4213.40,,,,,
1983-09-09,,,,,,
1983-09-10,4213.00,,,,,
1983-09-11,4212.30,,,,,
1983-09-12,4211.80,,,,,
1983-09-13,4211.20,,,,,
1983-09-14,4210.80,,,,,
1983-09-15,,,,,,
1983-09-16,,,,,,
1983-09-17,,,,,,
1983-09-18,,,,,,
1983-09-19,,,,,,
1983-09-20,,,,,,
1983-09-21,,,,,,
1983-09-22,,,,,,
1983-09-23,,,,,,
1983-09-24,,,,,,
1983-09-25,,,,,,
1983-09-26,,,,,,
1983-09-27,,,,,,
1983-09-28,,,,,,
1983-09-29,,,,,,
1983-09-30,,,,,,
1983-10-01,,,,,,
1983-10-02,,,,,,
1983-10-03,,,,,,
1983-10-04,,,,,,
1983-10-05,,,,,,
1983-10-06,,,,,,
1983-10-07,,,,,,
1983-10-08,,,,,,
1983-10-09,,,,,,
1983-10-10,,,,,,
1983-10-11,,,,,,
1983-10-12,,,,,,
1983-10-13,,,,,,
1983-10-14,,,,,,
1983-10-15,,,,,,
1983-10-16,,,,,,
1983-10-17,,,,,,
1983-10-18,,,,,,
1983-10-19,,,,,,
1983-10-20,,,,,,
1983-10-21,,,,,,
1983-10-22,,,,,,
1983-10-23,,,,,,
1983-10-24,,,,,,
1983-10-25,,,,,,
1983-10-26,,,,,,
1983-10-27,,,,,,
1983-10-28,,,,,,
1983-10-29,,,,,,
1983-10-30,,,,,,
1983-10-31,,,,,,
1983-11-01,,,,,,
1983-11-02,,,,,,
1983-11-03,,,,,,
1983-11-04,,,,,,
1983-11-05,,,,,,
1983-11-06,,,,,,
1983-11-07,,,,,,
1983-11-08,,,,,,
1983-11-09,,,,,,
1983-11-10,,,,,,
1983-11-11,,,,,,
1983-11-12,,,,,,
1983-11-13,,,,,,
1983-11-14,,,,,,
1983-11-15,,,,,,
1983-11-16,,,,,,
1983-11-17,,,,,,
1983-11-18,,,,,,
1983-11-19,,,,,,
1983-11-20,,,,,,
1983-11-21,,,,,,
1983-11-22,,,,,,
1983-11-23,,,,,,
1983-11-24,,,,,,
1983-11-25,,,,,,
1983-11-26,,,,,,
1983-11-27,,,,,,
1983-11-28,,,,,,
1983-11-29,,,,,,
1983-11-30,,,,,,
1983-12-01,,,,,,
1983-12-02,,,,,,
1983-12-03,,,,,,
1983-12-04,,,,,,
1983-12-05,,,,,,
1983-12-06,,,,,,
1983-12-07,,,,,,
1983-12-08,,,,,,
1983-12-09,,,,,,
1983-12-10,,,,,,
1983-12-11,,,,,,
1983-12-12,,,,,,
1983-12-13,,,,,,
1983-12-14,,,,,,
1983-12-15,,,,,,
1983-12-16,,,,,,
1983-12-17,,,,,,
1983-12-18,,,,,,
1983-12-19,,,,,,
1983-12-20,,,,,,
1983-12-21,,,,,,
1983-12-22,,,,,,
1983-12-23,,,,,,
1983-12-24,,,,,,
1983-12-25,,,,,,
1983-12-26,,,,,,
1983-12-27,,,,,,
1983-12-28,,,,,,
1983-12-29,,,,,,
1983-12-30,,,,,,
1983-12-31,,,,,,
1984-01-01,,,,,,
1984-01-02,,,,,,
1984-01-03,,,,,,
1984-01-04,,,,,,
1984-01-05,,,,,,
1984-01-06,,,,,,
1984-01-07,,,,,,
1984-01-08,,,,,,
1984-01-09,,,,,,
1984-01-10,,,,,,
1984-01-11,,,,,,
1984-01-12,,,,,,
1984-01-13,,,,,,
1984-01-14,,,,,,
1984-01-15,,,,,,
1984-01-16,,,,,,
1984-01-17,,,,,,
1984-01-18,,,,,,
1984-01-19,,,,,,
1984-01-20,,,,,,
1984-01-21,,,,,,
1984-01-22,,,,,,
1984-01-23,,,,,,
1984-01-24,,,,,,
1984-01-25,,,,,,
1984-01-26,,,,,,
1984-01-27,,,,,,
1984-01-28,,,,,,
1984-01-29,,,,,,
1984-01-30,,,,,,
1984-01-31,,,,,,
1984-02-01,,,,,,
1984-02-02,,,,,,
1984-02-03,,,,,,
1984-02-04,,,,,,
1984-02-05,,,,,,
1984-02-06,,,,,,
1984-02-07,,,,,,
1984-02-08,,,,,,
1984-02-09,,,,,,
1984-02-10,,,,,,
1984-02-11,,,,,,
1984-02-12,,,,,,
1984-02-13,,,,,,
1984-02-14,,,,,,
1984-02-15,,,,,,
1984-02-16,,,,,,
1984-02-17,,,,,,
1984-02-18,,,,,,
1984-02-19,,,,,,
1984-02-20,,,,,,
1984-02-21,,,,,,
1984-02-22,,,,,,
1984-02-23,,,,,,
1984-02-24,,,,,,
1984-02-25,,,,,,
1984-02-26,,,,,,
1984-02-27,,,,,,
1984-02-28,,,,,,
1984-02-29,,,,,,
1984-03-01,,,,,,
1984-03-02,,,,,,
1984-03-03,,,,,,
1984-03-04,,,,,,
1984-03-05,,,,,,
1984-03-06,,,,,,
1984-03-07,,,,,,
1984-03-08,,,,,,
1984-03-09,,,,,,
1984-03-10,,,,,,
1984-03-11,,,,,,
1984-03-12,,,,,,
1984-03-13,,,,,,
1984-03-14,,,,,,
1984-03-15,,,,,,
1984-03-16,,,,,,
1984-03-17,,,,,,
1984-03-18,,,,,,
1984-03-19,,,,,,
1984-03-20,,,,,,
1984-03-21,,,,,,
1984-03-22,,,,,,
1984-03-23,,,,,,
1984-03-24,,,,,,
1984-03-25,,,,,,
1984-03-26,,,,,,
1984-03-27,,,,,,
1984-03-28,,,,,,
1984-03-29,,,,,,
1984-03-30,,,,,,
1984-03-31,,,,,,
1984-04-01,,,,,,
1984-04-02,,,,,,
1984-04-03,,,,,,
1984-04-04,,,,,,
1984-04-05,,,,,,
1984-04-06,,,,,,
1984-04-07,,,,,,
1984-04-08,,,,,,
1984-04-09,,,,,,
1984-04-10,,,,,,
1984-04-11,,,,,,
1984-04-12,,,,,,
1984-04-13,,,,,,
1984-04-14,,,,,,
1984-04-15,,,,,,
1984-04-16,,,,,,
1984-04-17,,,,,,
1984-04-18,,,,,,
1984-04-19,,,,,,
1984-04-20,,,,,,
1984-04-21,,,,,,
1984-04-22,,,,,,
1984-04-23,,,,,,
1984-04-24,,,,,,
1984-04-25,,,,,,
1984-04-26,,,,,,
1984-04-27,,,,,,
1984-04-28,,,,,,
1984-04-29,,,,,,
1984-04-30,,,,,,
1984-05-01,,,,,,
1984-05-02,,,,,,
1984-05-03,,,,,,
1984-05-04,,,,,,
1984-05-05,,,,,,
1984-05-06,,,,,,
1984-05-07,,,,,,
1984-05-08,,,,,,
1984-05-09,,,,,,
1984-05-10,,,,,,
1984-05-11,,,,,,
1984-05-12,,,,,,
1984-05-13,,,,,,
1984-05-14,,,,,,
1984-05-15,,,,,,
1984-05-16,,,,,,
1984-05-17,,,,,,
1984-05-18,,,,,,
1984-05-19,,,,,,
1984-05-20,,,,,,
1984-05-21,,,,,,
1984-05-22,,,,,,
1984-05-23,,,,,,
1984-05-24,,,,,,
1984-05-25,,,,,,
1984-05-26,,,,,,
1984-05-27,,,,,,
1984-05-28,,,,,,
1984-05-29,,,,,,
1984-05-30,,,,,,
1984-05-31,,,,,,
1984-06-01,,,,,,
1984-06-02,,,,,,
1984-06-03,,,,,,
1984-06-04,,,,,,
1984-06-05,,,,,,
1984-06-06,,,,,,
1984-06-07,,,,,,
1984-06-08,,,,,,
1984-06-09,,,,,,
1984-06-10,,,,,,
1984-06-11,,,,,,
1984-06-12,,,,,,
1984-06-13,,,,,,
1984-06-14,,,,,,
1984-06-15,,,,,,
1984-06-16,,,,,,
1984-06-17,,,,,,
1984-06-18,,,,,,
1984-06-19,,,,,,
1984-06-20,,,,,,
1984-06-21,,,,,,
1984-06-22,,,,,,
1984-06-23,,,,,,
1984-06-24,,,,,,
1984-06-25,,,,,,
1984-06-26,,,,,,
1984-06-27,,,,,,
1984-06-28,,,,,,
1984-06-29,,,,,,
1984-06-30,,,,,,
1984-07-01,,,,,,
1984-07-02,,,,,,
1984-07-03,,,,,,
1984-07-04,,,,,,
1984-07-05,,,,,,
1984-07-06,,,,,,
1984-07-07,,,,,,
1984-07-08,,,,,,
1984-07-09,,,,,,
1984-07-10,,,,,,
1984-07-11,,,,,,
1984-07-12,,,,,,
1984-07-13,,,,,,
1984-07-14,,,,,,
1984-07-15,,,,,,
1984-07-16,,,,,,
1984-07-17,,,,,,
1984-07-18,,,,,,
1984-07-19,,,,,,
1984-07-20,,,,,,
1984-07-21,,,,,,
1984-07-22,,,,,,
1984-07-23,,,,,,
1984-07-24,,,,,,
1984-07-25,,,,,,
1984-07-26,,,,,,
1984-07-27,,,,,,
1984-07-28,,,,,,
1984-07-29,,,,,,
1984-07-30,,,,,,
1984-07-31,,,,,,
1984-08-01,,,,,,
1984-08-02,,,,,,
1984-08-03,,,,,,
1984-08-04,,,,,,
1984-08-05,,,,,,
1984-08-06,,,,,,
1984-08-07,,,,,,
1984-08-08,,,,,,
1984-08-09,,,,,,
1984-08-10,,,,,,
1984-08-11,,,,,,
1984-08-12,,,,,,
1984-08-13,,,,,,
1984-08-14,,,,,,
1984-08-15,,,,,,
1984-08-16,,,,,,
1984-08-17,,,,,,
1984-08-18,,,,,,
1984-08-19,,,,,,
1984-08-20,,,,,,
1984-08-21,,,,,,
1984-08-22,,,,,,
1984-08-23,,,,,,
1984-08-24,,,,,,
1984-08-25,,,,,,
1984-08-26,,,,,,
1984-08-27,,,,,,
1984-08-28,,,,,,
1984-08-29,,,,,,
1984-08-30,,,,,,
1984-08-31,,,,,,
1984-09-01,,,,,,
1984-09-02,,,,,,
1984-09-03,,,,,,
1984-09-04,,,,,,
1984-09-05,,,,,,
1984-09-06,,,,,,
1984-09-07,,,,,,
1984-09-08,,,,,,
