date,wz,wi,wk,qu,qd
1982-01-01,,,,635.79,463.00
1982-01-02,,,,535.79,440.00
1982-01-03,,,,516.76,425.00
1982-01-04,,,,587.22,440.00
1982-01-05,,,,451.44,391.00
1982-01-06,,,,391.81,310.00
1982-01-07,,,,356.44,310.00
1982-01-08,,,,416.06,330.00
1982-01-09,,,,399.87,335.00
1982-01-10,,,,407.36,335.00
1982-01-11,,,,429.55,335.00
1982-01-12,,,,413.76,337.00
1982-01-13,,,,437.57,342.00
1982-01-14,,,,447.38,355.00
1982-01-15,,,,581.28,451.00
1982-01-16,,,,1641.70,1240.00
1982-01-17,,,,3079.80,2320.00
1982-01-18,,,,2378.02,1680.00
1982-01-19,,,,1775.58,1290.00
1982-01-20,,,,1390.46,1020.00
1982-01-21,,,,1148.64,852.00
1982-01-22,,,,991.88,748.00
1982-01-23,,,,1557.74,1410.00
1982-01-24,,,,5379.99,4050.00
1982-01-25,,,,5187.94,3700.00
1982-01-26,,,,4159.06,3290.00
1982-01-27,,,,3690.33,3110.00
1982-01-28,,,,2612.45,2490.00
1982-01-29,,,,1854.55,1930.00
1982-01-30,,,,1581.90,1530.00
1982-01-31,,,,1532.87,1410.00
1982-02-01,,,,1378.00,1340.00
1982-02-02,,,,1343.24,1310.00
1982-02-03,,,,1679.59,1570.00
1982-02-04,,,,1519.70,1400.00
1982-02-05,,,,1222.86,1060.00
1982-02-06,,,,1151.18,980.00
1982-02-07,,,,1027.63,860.00
1982-02-08,,,,904.68,750.00
1982-02-09,,,,796.71,660.00
1982-02-10,,,,696.44,578.00
1982-02-11,,,,646.89,547.00
1982-02-12,,,,600.54,505.00
1982-02-13,,,,590.03,499.00
1982-02-14,,,,2488.40,2450.00
1982-02-15,,,,6166.04,6060.00
1982-02-16,,,,7118.76,6720.00
1982-02-17,,,,6594.68,6150.00
1982-02-18,,,,6190.71,5870.00
1982-02-19,,,,8327.44,7870.00
1982-02-20,,,,9229.40,8550.00
1982-02-21,,,,9231.14,8680.00
1982-02-22,,,,6493.58,6160.00
1982-02-23,,,,4353.32,4310.00
1982-02-24,,,,3106.68,3150.00
1982-02-25,,,,2342.11,2380.00
1982-02-26,,,,2052.06,1960.00
1982-02-27,,,,1839.45,1720.00
1982-02-28,,,,1634.59,1520.00
1982-03-01,,,,1643.97,1540.00
1982-03-02,,,,2387.40,2250.00
1982-03-03,,,,2403.56,2260.00
1982-03-04,,,,2799.09,2640.00
1982-03-05,,,,3191.13,3090.00
1982-03-06,,,,2818.71,2760.00
1982-03-07,,,,2430.28,2350.00
1982-03-08,,,,2271.22,2110.00
1982-03-09,,,,2245.34,2040.00
1982-03-10,,,,2581.23,2440.00
1982-03-11,,,,3278.24,3180.00
1982-03-12,,,,3034.66,2980.00
1982-03-13,,,,2583.71,2430.00
1982-03-14,,,,2329.18,2230.00
1982-03-15,,,,2651.81,2580.00
1982-03-16,,,,2387.19,2340.00
1982-03-17,,,,2210.28,2180.00
1982-03-18,,,,2112.12,2040.00
1982-03-19,,,,1961.19,1900.00
