date,max_temp(C),min_temp(C)
2001-04-07 00:00:00+00:00,18.1,18.1
2001-04-08 00:00:00+00:00,18.1,18.1
2001-04-09 00:00:00+00:00,18.1,18.1
2001-04-10 00:00:00+00:00,18.1,18.1
2001-04-11 00:00:00+00:00,18.1,18.1
2001-04-12 00:00:00+00:00,18.1,18.1
2001-04-13 00:00:00+00:00,18.1,18.1
2001-04-14 00:00:00+00:00,18.1,18.1
2001-04-15 00:00:00+00:00,18.1,18.1
2001-04-16 00:00:00+00:00,18.1,18.1
2001-04-17 00:00:00+00:00,18.1,18.1
2001-04-18 00:00:00+00:00,18.1,18.1
2001-04-19 00:00:00+00:00,18.1,18.1
2001-04-20 00:00:00+00:00,18.1,18.1
2001-04-21 00:00:00+00:00,18.1,18.1
2001-04-22 00:00:00+00:00,18.1,18.0
2001-04-23 00:00:00+00:00,18.1,18.1
2001-04-24 00:00:00+00:00,18.1,18.1
2001-04-25 00:00:00+00:00,18.1,18.1
2001-04-26 00:00:00+00:00,18.1,18.0
2001-04-27 00:00:00+00:00,18.1,18.0
2001-04-28 00:00:00+00:00,18.1,18.0
2001-04-29 00:00:00+00:00,18.1,18.0
2001-04-30 00:00:00+00:00,18.1,18.0
2001-05-01 00:00:00+00:00,18.1,18.0
2001-05-02 00:00:00+00:00,18.1,18.0
2001-05-03 00:00:00+00:00,18.1,18.0
2001-05-04 00:00:00+00:00,18.1,18.0
2001-05-05 00:00:00+00:00,18.1,18.0
2001-05-06 00:00:00+00:00,18.1,18.0
2001-05-07 00:00:00+00:00,18.0,18.0
2001-07-25 00:00:00+00:00,17.7,17.6
2001-07-26 00:00:00+00:00,17.7,17.7
2001-07-27 00:00:00+00:00,17.7,17.7
2001-07-28 00:00:00+00:00,17.7,17.6
2001-07-29 00:00:00+00:00,17.7,17.6
2001-07-30 00:00:00+00:00,17.7,17.6
2001-07-31 00:00:00+00:00,17.7,17.6
2001-08-01 00:00:00+00:00,17.7,17.6
2001-08-02 00:00:00+00:00,17.7,17.6
2001-08-03 00:00:00+00:00,17.7,17.6
2001-08-04 00:00:00+00:00,17.6,17.6
2001-08-05 00:00:00+00:00,17.6,17.6
2001-08-06 00:00:00+00:00,17.6,17.6
2001-08-07 00:00:00+00:00,17.6,17.6
2001-08-08 00:00:00+00:00,17.6,17.6
2001-08-09 00:00:00+00:00,17.6,17.6
2001-08-10 00:00:00+00:00,17.6,17.6
2001-08-11 00:00:00+00:00,17.6,17.6
2001-08-12 00:00:00+00:00,17.6,17.6
2001-08-13 00:00:00+00:00,17.6,17.6
2001-08-14 00:00:00+00:00,17.6,17.6
2001-08-15 00:00:00+00:00,17.6,17.6
2001-08-16 00:00:00+00:00,17.6,17.6
2001-08-17 00:00:00+00:00,17.6,17.6
2001-08-18 00:00:00+00:00,17.6,17.6
2001-08-19 00:00:00+00:00,17.6,17.6
